,Tweets,Subjectivity,Polarity,Analysis
0,"I would urge my young friends, specially those in the world of start-ups, tech and innovation to know more about the InFinity Forum and take part in the programme on the 3rd. https://t.co/Mp65pKezon",0.3678571428571429,0.2392857142857143,Positive
1,"The InFinity Forum has an interesting theme- ‘Beyond.’ As the name suggests, it will set the tone for stakeholders to think beyond conventional mindsets and approaches and discuss new trends in SpaceTech, GreenTech, AgriTech, quantum computing and more.",0.45292207792207795,0.24837662337662336,Positive
2,"On Friday, 3rd December at 10 AM a very interesting programme will take place to mark the launch of InFinity Forum. This is a thought leadership forum with a focus on aspects relating to FinTech and using it for inclusive growth. https://t.co/ZOE1ROBHLT",0.325,0.325,Positive
3,"On the special occasion of Nagaland’s Statehood Day, greetings to the wonderful people of the state. Naga culture personifies valour and humane values. The people of Nagaland are making rich contributions to India’s growth. I pray for Nagaland’s progress in the years to come. https://t.co/wR2l9DppdO",0.7738095238095237,0.5773809523809524,Positive
4,"On their Raising Day, greetings to the @BSF_India family. BSF is widely respected for its courage and professionalism. The force makes a significant contribution towards securing India and is also at the forefront of many humanitarian efforts in times of crisis and calamities. https://t.co/HybLzgsnDO",0.5916666666666667,0.25833333333333336,Positive
5,"అత్యంత ప్రతిభావంతులైన సిరివెన్నెల సీతారామశాస్త్రి గారి మరణం నన్నెంతగానో బాధించింది.ఆయన రచనలలో కవిత్వ పటిమ ,బహుముఖ ప్రజ్ఞ గోచరిస్తుంది. తెలుగు భాషా ప్రాచుర్యానికి ఎంతగానో కృషి చేసారు. ఆయన కుటుంబసభ్యులకు ,స్నేహితులకు సంతాపాన్ని తెలియజేస్తున్నాను.ఓం శాంతి . https://t.co/qxUBkJtkYU",0.0,0.0,Neutral
6,Saddened by the passing away of the outstanding Sirivennela Seetharama Sastry. His poetic brilliance and versatility could be seen in several of his works. He made many efforts to popularise Telugu. Condolences to his family and friends. Om Shanti. https://t.co/vmEeTj9tka,0.53125,0.34375,Positive
7,Had a great meeting with our former PM Shri @H_D_Devegowda Ji in Parliament today. https://t.co/89is38aUYn,0.375,0.4,Positive
8,Speaking at the start of the Parliament session. https://t.co/IvHdsOocbx,0.0,0.0,Neutral
9,"Hanukkah Sameach Prime Minister @naftalibennett, to you and to the friendly people of Israel, and the Jewish people around the world observing the 8-day festival of lights.",0.25,0.1875,Positive
10,"כבוד ראש הממשלה  @naftalibennett מאחל לך, ולעם ישראל החברותי, ולכל היהודים בעולם שמתציינים את חג החנוחה במשך שמונה ימים.

חג חנוחה שמח מלא אור ותיקווה.",0.0,0.0,Neutral
11,"Congratulations, Excellency Petr Fiala, on your appointment as Prime Minister of the Czech Republic. I look forward to working with you for further enhancing India-Czech ties.

@P_Fiala",0.5,0.0,Neutral
12,"I would like to applaud the @BJP4Tripura Karyakartas who worked tirelessly on the ground and served people. Under the leadership of Shri Biplab Deb Ji, the State Government has been at the forefront of many initiatives, which the people have duly blessed. @BjpBiplab",0.5,0.5,Positive
13,The people of Tripura have given a clear message - that they prefer politics of good governance. I would like to thank them for the unequivocal support to @BJP4Tripura. These blessings give us greater strength to work for the welfare of each and every person in Tripura.,0.49444444444444446,0.4333333333333333,Positive
14,"A must have in your homes! 

Arunachal Pradesh Kiwis are delicious. https://t.co/1HZCvwGCh3",1.0,1.0,Positive
15,"India’s start-up eco-system is filled with inspiring life journeys of youngsters who are using their entrepreneurial abilities to solve persisting challenges. 

During #MannKiBaat today, I spoke to one such person, Mayur Patil who is working to minimise pollution. https://t.co/1ZQyoMJ9a2",0.7999999999999999,0.3,Positive
16,"A prolonged knee problem has been giving trouble to Sukh Devi Ji but Ayushman Bharat changed that. 

Hear what she had to say… #MannKiBaat https://t.co/PKx1lGEdmr",0.2,-0.2,Negative
17,"I keep getting several letters from people across India appreciating Ayushman Bharat PM-JAY. This scheme has changed countless lives. 

During #MannKiBaat I spoke to Rajesh Prajapati Ji from Uttar Pradesh who got good quality treatment for his heart ailment. https://t.co/fYvOHslcIm",0.3666666666666667,0.2333333333333333,Positive
18,"A commendable effort in Jalaun, Uttar Pradesh towards bringing a river back to life. 

Such community efforts are very advantageous to our society. #MannKiBaat https://t.co/GNwC1G74Od",0.26666666666666666,0.06666666666666667,Positive
19,The vibrant spirituality and culture of Vrindavan finds resonance in Perth in Australia! Find out more… #MannKiBaat https://t.co/avQnUj0qdY,0.3333333333333333,0.20833333333333331,Positive
